ID_Ra;Navn;DSK Kategori;Produkt;Kategori;Total kg CO2e/kg
Ra00354;Linsespirer, rå;Grøntsager;Linsespirer;Grøntsager og grøntsagsprodukter;3,00
Ra00355;Rødkål, konserves, uden tilsat sukker;Frugt/grøntsagsprodukter;Rødkål, konserves, uden tilsat sukker;Grøntsager og grøntsagsprodukter;0,79
Ra00356;Tomatjuice, konserves;Drikkevarer;Tomatjuice, dåse;Drikkevarer;1,06
Ra00357;Agurk, syltet;Frugt/grøntsagsprodukter;Agurk, syltet;Grøntsager og grøntsagsprodukter;3,07
Ra00358;Kartoffelmos, pulver med tørmælk;Frugt/grøntsagsprodukter;Kartoffelmos, pulver med tørmælk;Grøntsager og grøntsagsprodukter;5,38
Ra00359;Peber, chili, konserves;Frugt/grøntsagsprodukter;Peber, chili, konserves;Grøntsager og grøntsagsprodukter;1,51
Ra00360;Asier, syltede;Frugt/grøntsagsprodukter;Asier, syltede;Grøntsager og grøntsagsprodukter;3,07
Ra00361;Tomat, flået, konserves;Frugt/grøntsagsprodukter;Tomat, flået, konserves;Grøntsager og grøntsagsprodukter;1,06
Ra00362;Rødbede, konserves;Frugt/grøntsagsprodukter;Rødbede, konserves;Grøntsager og grøntsagsprodukter;0,86
Ra00363;Kartoffel, konserves;Frugt/grøntsagsprodukter;Kartoffel, konserves;Grøntsager og grøntsagsprodukter;0,99
Ra00364;Kartoffel, chips (franske kartofler);Tilberedte/konserverede fødevarer;Kartoffel, chips (franske kartofler);Grøntsager og grøntsagsprodukter;4,24
Ra00365;Bambusskud, konserves, usaltet;Frugt/grøntsagsprodukter;Bambusskud, konserves, usaltet;Grøntsager og grøntsagsprodukter;1,37
Ra00366;Champignon, konserves;Frugt/grøntsagsprodukter;Champignon, konserves;Svampe og svampeprodukter;0,62
Ra00367;Pommes frites, friturestegt, fastfood;Frugt/grøntsagsprodukter;Pommes frites, friturestegt, fastfood;Grøntsager og grøntsagsprodukter;2,85
Ra00368;Tomatpure, koncentreret;Frugt/grøntsagsprodukter;Tomatpure, koncentreret;Grøntsager og grøntsagsprodukter;2,67
Ra00369;Tomatketchup;Krydderier/konserveringsmidler/ekstrakter;Tomatketchup;Smagsgivere og krydderier;2,12
Ra00370;Baked beans/hvide bønner i tomatsovs, konserves;Frugt/grøntsagsprodukter;Baked beans/hvide bønner i tomatsovs, konserves;Bælgfrugter og bælgfrugtprodukter;1,72
Ra00371;Kartoffelmel;Frugt/grøntsagsprodukter;Kartoffelmel;Grøntsager og grøntsagsprodukter;1,68
Ra00372;Grønne ærter, konserves;Frugt/grøntsagsprodukter;Grønne ærter, konserves;Grøntsager og grøntsagsprodukter;2,36
Ra00373;Soja sauce;Krydderier/konserveringsmidler/ekstrakter;Soja sauce;Smagsgivere og krydderier;1,88
Ra00374;Sauce, barbeque;Krydderier/konserveringsmidler/ekstrakter;Sauce, barbeque;Smagsgivere og krydderier;2,26
Ra00375;Hvidvin, uspec.;Drikkevarer;Hvidvin;Vin, øl og spiritus;1,65
Ra00376;Rosévin;Drikkevarer;Rosévin;Vin, øl og spiritus;1,65
