ID_Ra;Navn;DSK Kategori;Produkt;Kategori;Total kg CO2e/kg
Ra00019;Øl, stærk, 7,6 % vol.;Drikkevarer;Øl, stærk, 7,6 % vol., dåse;Vin, øl og spiritus;0,68
Ra00020;Kiks, Marie;Brød/bageartikler;Kiks, Marie;Brød og bageartikler;2,93
Ra00021;Kiks, fuldkorns-, digestivetype;Brød/bageartikler;Kiks, fuldkorns-, digestivetype;Brød og bageartikler;2,82
Ra00022;Småkage, hvede, traditionelle danske, industrifremstillet;Brød/bageartikler;Småkage, hvede, traditionelle danske, industrifremstillet;Brød og bageartikler;3,23
Ra00023;Småkage, cookie (amerikansk type), industrifremstillet;Brød/bageartikler;Småkage, cookie (amerikansk type), industrifremstillet;Brød og bageartikler;2,82
Ra00024;Müslibar;Brød/bageartikler;Müslibar;Korn og kornprodukter;4,75
Ra00025;Vaffelrør;Brød/bageartikler;Vaffelrør;Brød og bageartikler;2,74
Ra00026;Rasp;Brød/bageartikler;Rasp;Brød og bageartikler;1,84
Ra00027;Knækbrød, rug-, groft;Brød/bageartikler;Knækbrød, rug, groft;Brød og bageartikler;1,62
Ra00028;Hvedebrød, toastbrød, fint, industrifremstillet;Brød/bageartikler;Hvedebrød, toastbrød, fint, industrifremstillet;Brød og bageartikler;1,16
Ra00029;Pølsebrød;Brød/bageartikler;Pølsebrød;Brød og bageartikler;1,16
Ra00030;Grovbolle;Brød/bageartikler;Grovbolle;Brød og bageartikler;1,16
Ra00031;Rugbrød, fuldkorn, industrifremstillet;Brød/bageartikler;Rugbrød, fuldkorn, industrifremstillet;Brød og bageartikler;1,02
Ra00032;Rugbrød, revet, med brunt sukker, uspec.;Brød/bageartikler;Rugbrødskrymmel/ymerdrys;Brød og bageartikler;2,21
Ra00033;Cornflakes, uspec.;Korn-/gryn-/bælgfrugtprodukter;Cornflakes;Korn og kornprodukter;2,39
Ra00034;Müsli, uspec.;Korn-/gryn-/bælgfrugtprodukter;Müsli;Korn og kornprodukter;2,31
Ra00035;Morgenmadsprodukt, Guldkorn;Korn-/gryn-/bælgfrugtprodukter;Morgenmadsprodukt, Guldkorn;Korn og kornprodukter;2,68
Ra00036;Morgenmadsprodukt, Havrefras;Korn-/gryn-/bælgfrugtprodukter;Morgenmadsprodukt, Havrefras;Korn og kornprodukter;2,06
Ra00037;Smør, saltet;Mælk/æg/erstatningsprodukter;Smør, saltet;Mælk, mejeriprodukter og æg;3,30
Ra00038;Smørbart blandingsprodukt, 75% fedt;Mælk/æg/erstatningsprodukter;Smørbart blandingsprodukt, 75% fedt;Mælk, mejeriprodukter og æg;3,21
Ra00039;Skærekage, chokoladekage/-pie;Brød/bageartikler;Skærekage, chokoladekage;Brød og bageartikler;2,32
Ra00040;Wienerbrød, kanelsnegl;Brød/bageartikler;Wienerbrød, kanelsnegl;Brød og bageartikler;1,90
Ra00041;Skærekage, formkage, uspec.;Brød/bageartikler;Skærekage, formkage;Brød og bageartikler;2,32
Ra00042;Flødeskumskage, lagkagesnitte;Brød/bageartikler;Flødeskumskage, lagkagesnitte;Brød og bageartikler;2,32
Ra00043;Kage, trøffelprodukt / koldprodukt, industrifremstillet;Brød/bageartikler;Kage, trøffelprodukt / koldprodukt, industrifremstillet;Brød og bageartikler;3,67
Ra00044;Bacon, stegestykke, rå;Kød/fjerkræ;Grisekød, bacon, stegestykke;Kød og fjerkræ;6,43
Ra00045;Salami;Kød/fjerkræ;Grisekød, spegepølse, salami;Kød og fjerkræ;5,70
Ra00046;Skinke, kogt, skiveskåret;Kød/fjerkræ;Grisekød, skinke, kogt, pålæg;Kød og fjerkræ;4,28
Ra00047;Roastbeef, pålæg;Kød/fjerkræ;Oksekød, roastbeef, pålæg;Kød og fjerkræ;67,91
Ra00048;Medisterpølse, rå;Kød/fjerkræ;Grisekød, medisterpølse;Kød og fjerkræ;2,76
Ra00049;Leverpostej;Kød/fjerkræ;Grisekød, leverpostej;Kød og fjerkræ;3,96
Ra00050;Rullepølse, pålæg;Kød/fjerkræ;Grisekød, rullepølse, pålæg;Kød og fjerkræ;4,28
Ra00051;Pølse, bratwurst, thüringer;Kød/fjerkræ;Grisekød, pølse bratwurst;Kød og fjerkræ;2,16
Ra00052;Kylling, bryst (filet), kogt, pålæg;Kød/fjerkræ;Kylling, bryst (filet), kogt, pålæg;Kød og fjerkræ;4,78
Ra00053;Kylling, ben, kød og skind, rå;Kød/fjerkræ;Kylling, ben, kød og skind;Kød og fjerkræ;1,98
Ra00054;Kylling, lår, kød og skind, rå;Kød/fjerkræ;Kylling, lår, kød og skind;Kød og fjerkræ;1,88
Ra00055;Kylling, bryst, kød og skind, rå;Kød/fjerkræ;Kylling, bryst, kød og skind;Kød og fjerkræ;5,20
Ra00056;Kyllingepølse, pålæg;Kød/fjerkræ;Kylling, pølse, pålæg;Kød og fjerkræ;1,93
Ra00057;Høne, kød og skind, rå;Kød/fjerkræ;Kylling, høne, kød og skind;Kød og fjerkræ;3,27
Ra00058;Te, blade;Drikkevarer;Te, blade;Drikkevarer;16,71
Ra00059;Kaffe, instant, pulver;Drikkevarer;Kaffe, instant, pulver;Drikkevarer;17,28
Ra00060;Kaffebønne, ristet, formalet;Drikkevarer;Kaffe, bønner, ristet, formalet;Drikkevarer;6,90
Ra00061;Kakao, instant, uden mælk, pulver;Drikkevarer;Kakao, instant, uden mælk, pulver;Drikkevarer;17,30
Ra00062;Kakao, pulver;Drikkevarer;Kakao, pulver;Drikkevarer;17,30
Ra00063;Rullepølse, lammekød, pålæg;Kød/fjerkræ;Lammekød, rullepølse, lammekød, pålæg;Kød og fjerkræ;32,77
Ra00064;Spegepølse, oksekød;Kød/fjerkræ;Oksekød, spegepølse;Kød og fjerkræ;49,16
Ra00065;Hamburgerryg, kogt;Kød/fjerkræ;Grisekød, hamburgerryg, kogt;Kød og fjerkræ;4,28
Ra00066;Dressing, olie-eddike;Krydderier/konserveringsmidler/ekstrakter;Dressing, olie-eddike;Smagsgivere og krydderier;3,43
Ra00067;Dressing, thousand island;Krydderier/konserveringsmidler/ekstrakter;Dressing, thousand island;Smagsgivere og krydderier;3,11
Ra00068;Vand, postevand, vejl. Værdier;Drikkevarer;Vand, postevand;Drikkevarer;0,00
Ra00069;And, kød, rå;Kød/fjerkræ;And, kød;Kød og fjerkræ;3,27
Ra00070;Gås, kød, rå;Kød/fjerkræ;Gås, kød;Kød og fjerkræ;3,27
Ra00071;Makrelsalat, mayonnaise;Krydderier/konserveringsmidler/ekstrakter;Makrelsalat, mayonnaise;Smagsgivere og krydderier;2,34
Ra00072;Sauce, gravad laks;Krydderier/konserveringsmidler/ekstrakter;Sennep dild sauce;Smagsgivere og krydderier;1,86
Ra00073;Italiensk salat, mayonnaise;Krydderier/konserveringsmidler/ekstrakter;Italiensk salat, mayonnaise;Smagsgivere og krydderier;3,13
Ra00074;Karrysalat, mayonnaise;Krydderier/konserveringsmidler/ekstrakter;Karrysalat, mayonnaise;Smagsgivere og krydderier;3,13
Ra00075;Yoghurt naturel, sødmælk;Mælk/æg/erstatningsprodukter;Yoghurt naturel, sødmælk;Mælk, mejeriprodukter og æg;0,73
Ra00076;Creme fraiche 18 %;Mælk/æg/erstatningsprodukter;Creme fraiche 18 %;Mælk, mejeriprodukter og æg;1,57
Ra00077;Skyr, 0.2 % fedt;Mælk/æg/erstatningsprodukter;Skyr, 0,2 % fedt;Mælk, mejeriprodukter og æg;1,03
Ra00078;Danbo ost, 45+;Mælk/æg/erstatningsprodukter;Danbo ost, 45+;Mælk, mejeriprodukter og æg;5,41
Ra00079;Parmesan ost, 32+;Mælk/æg/erstatningsprodukter;Parmesan ost, 32+;Mælk, mejeriprodukter og æg;5,41
Ra00080;Mozzarella ost, 30+;Mælk/æg/erstatningsprodukter;Mozzarella ost, 30+;Mælk, mejeriprodukter og æg;5,41
Ra00081;Sild, marineret;Fisk og skaldyr;Sild, marineret;Fisk og skaldyr;5,35
Ra00082;Fiskeboller, konserves;Fisk og skaldyr;Fiskeboller, konserves;Fisk og skaldyr;2,19
Ra00083;Fiskefars, rå;Fisk og skaldyr;Fiskefars;Fisk og skaldyr;2,84
Ra00084;Torsk, lever, konserves;Fisk og skaldyr;Torsk, lever, konserves;Fisk og skaldyr;9,03
Ra00085;Torsk, rogn, konserves;Fisk og skaldyr;Torskerogn, konserves;Fisk og skaldyr;4,24
Ra00086;Rejer, dybvands-, konserves;Fisk og skaldyr;Rejer, konserves;Fisk og skaldyr;9,71
Ra00087;Torsk, filet, paneret, rå;Fisk og skaldyr;Torsk, filet, paneret;Fisk og skaldyr;2,41
Ra00088;Kaviar, uægte (stenbiderrogn);Fisk og skaldyr;Kaviar, stenbiderrogn;Fisk og skaldyr;4,16
Ra00089;Fiskefrikadelle;Fisk og skaldyr;Fiskefrikadelle;Fisk og skaldyr;3,35
Ra00090;Torsk, lever, røget;Fisk og skaldyr;Torskelever, røget;Fisk og skaldyr;3,58
Ra00091;Torsk, lever, rå;Fisk og skaldyr;Torskelever;Fisk og skaldyr;2,81
Ra00092;Hummer, konserves;Fisk og skaldyr;Hummer, konserves;Fisk og skaldyr;6,35
Ra00093;Musling, konserves;Fisk og skaldyr;Musling, konserves;Fisk og skaldyr;1,69
Ra00094;Tun i tomat, konserves;Fisk og skaldyr;Tun i tomat, konserves;Fisk og skaldyr;4,48
Ra00095;Torsk, rogn, rå;Fisk og skaldyr;Torskerogn;Fisk og skaldyr;4,15
Ra00096;Krabbekløer, rå;Fisk og skaldyr;Krabbekløer;Fisk og skaldyr;9,77
Ra00097;Kaviar, uægte (lodderogn);Fisk og skaldyr;Kaviar, lodderogn;Fisk og skaldyr;4,15
Ra00098;Tun i vand, konserves;Fisk og skaldyr;Tun i vand, konserves;Fisk og skaldyr;4,03
Ra00099;Hellefisk, røget;Fisk og skaldyr;Hellefisk, røget;Fisk og skaldyr;2,69
Ra00100;Fiskefilet, paneret, friturestegt;Fisk og skaldyr;Fiskefilet, paneret, friturestegt;Fisk og skaldyr;2,71
Ra00101;Fiskepinde, panerede, dybfrost;Fisk og skaldyr;Fiskepinde, panerede, dybfrost;Fisk og skaldyr;2,37
Ra00102;Rugmel, groft, fuldkorn;Korn-/gryn-/bælgfrugtprodukter;Rugmel, groft, fuldkorn;Korn og kornprodukter;1,17
Ra00103;Hvedemel, grahemsmel, fuldkorn;Korn-/gryn-/bælgfrugtprodukter;Hvedemel, grahamsmel, fuldkorn;Korn og kornprodukter;1,24
Ra00104;Rugkerner, hele/knækkede;Korn-/gryn-/bælgfrugtprodukter;Rugkerner, hele/knækkede;Korn og kornprodukter;1,17
Ra00105;Hvedekerner, hele/knækkede;Korn-/gryn-/bælgfrugtprodukter;Hvedekerner, hele/knækkede;Korn og kornprodukter;1,24
Ra00106;Rismel;Korn-/gryn-/bælgfrugtprodukter;Rismel;Korn og kornprodukter;5,12
Ra00107;Majsmel;Korn-/gryn-/bælgfrugtprodukter;Majsmel;Korn og kornprodukter;1,61
Ra00108;Æg, høne, skrabehøns, rå;Mælk/æg/erstatningsprodukter;Æg, skrabeæg;Mælk, mejeriprodukter og æg;0,97
Ra00109;Knude, rå;Fisk og skaldyr;Knude;Fisk og skaldyr;7,14
Ra00110;Aborre, rå;Fisk og skaldyr;Aborre;Fisk og skaldyr;4,08
Ra00111;Sandart, rå;Fisk og skaldyr;Sandart;Fisk og skaldyr;3,67
Ra00112;Gedde, rå;Fisk og skaldyr;Gedde;Fisk og skaldyr;3,67
Ra00113;Brasen, rå;Fisk og skaldyr;Brasen;Fisk og skaldyr;8,03
Ra00114;Bækforel, rå;Fisk og skaldyr;Bækforel;Fisk og skaldyr;6,91
Ra00115;Ørred, hav-, rå;Fisk og skaldyr;Havørred;Fisk og skaldyr;1,33
Ra00116;Helt, rå;Fisk og skaldyr;Helt;Fisk og skaldyr;7,14
Ra00117;Frugtsaft, blandet, sødet, koncentreret;Drikkevarer;Frugtsaft, blandet, sødet, koncentreret, plastflaske;Drikkevarer;2,52
Ra00118;Hyldebærsaft, sød, koncentreret;Drikkevarer;Hyldebærsaft, koncentreret, plastflaske;Drikkevarer;4,00
Ra00119;Oliven, grønne, marinerede, konserves;Krydderier/konserveringsmidler/ekstrakter;Oliven, grønne, marinerede, konserves;Grøntsager og grøntsagsprodukter;2,05
Ra00120;Pære, konserves;Frugt/grøntsagsprodukter;Pære, konserves;Frugt og frugtprodukter;0,95
Ra00121;Nøddepasta med cacao, smørepålæg;Slik/sukkervarer;Nøddepasta med cacao, smørepålæg;Planteprodukter og -drikke;5,16
Ra00122;Appelsinjuice, konserves;Drikkevarer;Appelsinjuice, plastflaske;Drikkevarer;1,49
Ra00123;Ananas, konserves;Frugt/grøntsagsprodukter;Ananas, konserves;Frugt og frugtprodukter;1,13
Ra00124;Jordbærsyltetøj;Frugt/grøntsagsprodukter;Jordbærsyltetøj;Frugt og frugtprodukter;2,21
Ra00125;Rosiner, uden kerner;Frugt/grøntsagsprodukter;Rosiner, uden kerner;Frugt og frugtprodukter;3,58
Ra00126;Hindbærmarmelade;Frugt/grøntsagsprodukter;Hindbærmarmelade;Frugt og frugtprodukter;2,21
Ra00127;Hare, rå;Kød/fjerkræ;Hare, kød;Kød og fjerkræ;3,27
Ra00128;Kanin, kød, rå;Kød/fjerkræ;Kanin, kød;Kød og fjerkræ;3,27
Ra00129;Fasan, kød og skind, rå;Kød/fjerkræ;Fasan, kød og skind;Kød og fjerkræ;3,27
Ra00130;Due, vildt, kød og skind, rå;Kød/fjerkræ;Due, vildt, kød og skind;Kød og fjerkræ;3,27
Ra00131;Byggryn, rå;Korn-/gryn-/bælgfrugtprodukter;Byggryn;Korn og kornprodukter;1,78
Ra00132;Havregryn, ikke beriget;Korn-/gryn-/bælgfrugtprodukter;Havregryn, ikke beriget;Korn og kornprodukter;1,94
Ra00133;Risengryn, grødris, polerede, rå;Korn-/gryn-/bælgfrugtprodukter;Risengryn, grødris, polerede;Korn og kornprodukter;5,09
Ra00134;Persille, rå;Grøntsager;Persille;Grøntsager og grøntsagsprodukter;0,45
Ra00135;Dild, rå;Grøntsager;Dild;Grøntsager og grøntsagsprodukter;0,45
Ra00136;Hvidløg, rå;Grøntsager;Hvidløg;Grøntsager og grøntsagsprodukter;1,25
Ra00137;Purløg, rå;Grøntsager;Purløg;Grøntsager og grøntsagsprodukter;0,43
Ra00138;Karse, frisk;Grøntsager;Karse;Grøntsager og grøntsagsprodukter;0,45
Ra00139;Oliven, sorte, uden sten, i saltlage;Krydderier/konserveringsmidler/ekstrakter;Oliven, sorte, uden sten, i saltlage;Grøntsager og grøntsagsprodukter;2,05
Ra00140;Hasselnød, tørret;Frugt/grøntsagsprodukter;Hasselnød, tørret;Nødder og frø;6,95
Ra00141;Solsikkefrø, afskallede, tørrede;Frugt/grøntsagsprodukter;Solsikkefrø, afskallede, tørrede;Nødder og frø;3,13
Ra00142;Sesamfrø, afskallede;Frugt/grøntsagsprodukter;Sesamfrø, afskallede;Nødder og frø;7,30
Ra00143;Valnødder, tørret;Frugt/grøntsagsprodukter;Valnødder, tørret;Nødder og frø;5,69
Ra00144;Cashewnødder, tørristet;Frugt/grøntsagsprodukter;Cashewnødder, tørristet;Nødder og frø;12,47
Ra00145;Græskarkerner, tørret;Frugt/grøntsagsprodukter;Græskarkerner, tørret;Nødder og frø;5,69
Ra00146;Honning;Tilberedte/konserverede fødevarer;Honning;Smagsgivere og krydderier;0,81
Ra00147;Mælkeis, uspec.;Tilberedte/konserverede fødevarer;Mælkeis;Mælk, mejeriprodukter og æg;2,71
Ra00148;Flødeis;Tilberedte/konserverede fødevarer;Flødeis;Mælk, mejeriprodukter og æg;2,71
Ra00149;Ispind, limonade;Tilberedte/konserverede fødevarer;Ispind, limonade;Frugt og frugtprodukter;1,25
Ra00150;Eddike;Krydderier/konserveringsmidler/ekstrakter;Eddike;Smagsgivere og krydderier;1,58
Ra00151;Salt, bordsalt (jodberiget);Krydderier/konserveringsmidler/ekstrakter;Salt, bordsalt (jodberiget);Smagsgivere og krydderier;0,44
Ra00152;Rabarber, rå;Grøntsager;Rabarber;Grøntsager og grøntsagsprodukter;0,38
Ra00153;Bladselleri, rå;Grøntsager;Bladselleri;Grøntsager og grøntsagsprodukter;0,38
Ra00154;Blomkål, uspecificeret, rå;Grøntsager;Blomkål;Grøntsager og grøntsagsprodukter;0,63
Ra00155;Broccoli, rå;Grøntsager;Broccoli;Grøntsager og grøntsagsprodukter;0,63
Ra00156;Grønkål, rå;Grøntsager;Grønkål;Grøntsager og grøntsagsprodukter;0,29
Ra00157;Hvidkål, rå;Grøntsager;Hvidkål;Grøntsager og grøntsagsprodukter;0,29
Ra00158;Rosenkål, uspec., rå;Grøntsager;Rosenkål;Grøntsager og grøntsagsprodukter;0,29
Ra00159;Rødkål, rå;Grøntsager;Rødkål;Grøntsager og grøntsagsprodukter;0,29
Ra00160;Spidskål, rå;Grøntsager;Spidskål;Grøntsager og grøntsagsprodukter;0,29
Ra00161;Spinat, rå;Grøntsager;Spinat;Grøntsager og grøntsagsprodukter;0,48
Ra00162;Artiskok, rå;Grøntsager;Artiskok;Grøntsager og grøntsagsprodukter;0,98
Ra00163;Asparges, grønne, rå;Grøntsager;Asparges, grøn;Grøntsager og grøntsagsprodukter;1,08
Ra00164;Salat, Iceberg, rå;Grøntsager;Salat, Iceberg;Grøntsager og grøntsagsprodukter;0,46
Ra00165;Salat, egeløv, rå;Grøntsager;Salat, egeløv;Grøntsager og grøntsagsprodukter;0,46
Ra00166;Paksoi, pak-choi, pai tsai, rå;Grøntsager;Bok choy, pak choi eller pok choi;Grøntsager og grøntsagsprodukter;0,29
Ra00167;Savoykål, rå;Grøntsager;Savoykål;Grøntsager og grøntsagsprodukter;0,29
Ra00168;Blomkål, dybfrost;Frugt/grøntsagsprodukter;Blomkål, dybfrost;Grøntsager og grøntsagsprodukter;0,82
Ra00169;Porre, rå;Grøntsager;Porre;Grøntsager og grøntsagsprodukter;0,43
Ra00170;Spinat, hakket, dybfrost;Frugt/grøntsagsprodukter;Spinat, hakket, dybfrost;Grøntsager og grøntsagsprodukter;0,64
Ra00171;Broccoli, dybfrost;Frugt/grøntsagsprodukter;Broccoli, dybfrost;Grøntsager og grøntsagsprodukter;0,82
Ra00172;Voksbønner, rå;Grøntsager;Voksbønner;Bælgfrugter og bælgfrugtprodukter;0,95
Ra00173;Grønne ærter, rå;Grøntsager;Grønne ærter;Grøntsager og grøntsagsprodukter;1,27
Ra00174;Grønne linser, tørrede;Korn-/gryn-/bælgfrugtprodukter;Grønne linser, tørrede;Bælgfrugter og bælgfrugtprodukter;3,08
Ra00175;Kikærter, tørrede, rå;Korn-/gryn-/bælgfrugtprodukter;Kikærter, tørrede;Bælgfrugter og bælgfrugtprodukter;3,60
Ra00176;Grønne bønner, rå;Grøntsager;Grønne bønner, haricot verts;Grøntsager og grøntsagsprodukter;0,95
Ra00177;Bønnespirer, mung, rå;Frugt/grøntsagsprodukter;Bønnespirer, mung;Grøntsager og grøntsagsprodukter;0,95
Ra00178;Bønnespirer, uspec., rå;Frugt/grøntsagsprodukter;Bønnespirer;Grøntsager og grøntsagsprodukter;0,95
Ra00179;Sukkerært (mangetout), rå;Grøntsager;Sukkerært (mangetout);Grøntsager og grøntsagsprodukter;1,34
Ra00180;Sojabønner, tørrede, rå;Korn-/gryn-/bælgfrugtprodukter;Sojabønner, tørrede;Bælgfrugter og bælgfrugtprodukter;1,84
Ra00181;Grønne ærter, dybfrost;Grøntsager;Grønne ærter, dybfrost;Grøntsager og grøntsagsprodukter;1,62
Ra00182;Mineralvand, dansk vand o.lign.;Drikkevarer;Mineralvand, danskvand, glasflaske;Drikkevarer;0,19
Ra00183;Mineralvand, sodavand, tilsat sukker, uspec.;Drikkevarer;Mineralvand, sodavand, tilsat sukker, uspec.;Drikkevarer;0,59
Ra00184;Æblemost, uspec.;Drikkevarer;Æblemost, plastflaske;Drikkevarer;1,68
Ra00185;Sherry, tør;Drikkevarer;Sherry, tør;Vin, øl og spiritus;2,91
Ra00186;Likør, kaffe med fløde;Drikkevarer;Likør, kaffe med fløde;Vin, øl og spiritus;3,56
Ra00187;Margarine, 70 %, bordbrug, blød, vegetabilsk fedt;Mælk/æg/erstatningsprodukter;Margarine, 70 %, bordbrug, blød, vegetabilsk fedt;Planteprodukter og -drikke;2,49
Ra00188;Hornfisk, rå;Fisk og skaldyr;Hornfisk;Fisk og skaldyr;2,63
Ra00189;Laks, atlantisk, vild, rå;Fisk og skaldyr;Laks, atlantisk, vild;Fisk og skaldyr;2,09
Ra00190;Makrel, rå;Fisk og skaldyr;Makrel;Fisk og skaldyr;1,98
Ra00191;Rødspætte, rå;Fisk og skaldyr;Rødspætte;Fisk og skaldyr;2,81
Ra00192;Sild, rå;Fisk og skaldyr;Sild;Fisk og skaldyr;2,23
Ra00193;Mørksej, rå;Fisk og skaldyr;Mørksej;Fisk og skaldyr;2,81
Ra00194;Torsk, filet, rå;Fisk og skaldyr;Torsk, filet;Fisk og skaldyr;2,81
Ra00195;Rødspætte, filet, paneret, dybfrost;Fisk og skaldyr;Rødspætte, filet, paneret, dybfrost;Fisk og skaldyr;2,45
Ra00196;Sej, filet, dybfrost;Fisk og skaldyr;Sej, filet, dybfrost;Fisk og skaldyr;2,71
Ra00197;Tun, rå;Fisk og skaldyr;Tun;Fisk og skaldyr;3,10
Ra00198;Laks, atlantisk, opdræt, koldrøget;Fisk og skaldyr;Laks, atlantisk, opdræt, koldrøget;Fisk og skaldyr;2,78
Ra00199;Laks, atlantisk, opdræt, varmrøget;Fisk og skaldyr;Laks, atlantisk, opdræt, varmrøget;Fisk og skaldyr;3,08
Ra00200;Laks, atlantisk, opdræt, rå;Fisk og skaldyr;Laks, atlantisk, opdræt;Fisk og skaldyr;2,09
Ra00201;Mayonnaise, fedtreduceret;Krydderier/konserveringsmidler/ekstrakter;Mayonnaise, fedtreduceret;Smagsgivere og krydderier;1,17
Ra00202;Mayonnaise;Krydderier/konserveringsmidler/ekstrakter;Mayonnaise;Smagsgivere og krydderier;3,13
Ra00203;Remoulade, uspec.;Krydderier/konserveringsmidler/ekstrakter;Remoulade, uspec.;Smagsgivere og krydderier;1,86
Ra00204;Østers, rå;Fisk og skaldyr;Østers;Fisk og skaldyr;0,84
Ra00205;Musling, rå;Fisk og skaldyr;Musling;Fisk og skaldyr;0,19
Ra00206;Blæksprutte, rå;Fisk og skaldyr;Blæksprutte;Fisk og skaldyr;0,38
Ra00207;Champignon, rå;Grøntsager;Champignon;Svampe og svampeprodukter;0,38
Ra00208;Østershatte;Grøntsager;Østershat;Svampe og svampeprodukter;0,38
Ra00209;Mandeldrik, ikke beriget;Mælk/æg/erstatningsprodukter;Mandeldrik, ikke beriget;Planteprodukter og -drikke;0,53
Ra00210;Risdrik, tilsat calcium;Mælk/æg/erstatningsprodukter;Risdrik, tilsat calcium;Planteprodukter og -drikke;1,40
Ra00211;Havredrik, tilsat calcium;Mælk/æg/erstatningsprodukter;Havredrik, tilsat calcium;Planteprodukter og -drikke;0,40
Ra00212;Sojadrik, tilsat calcium;Mælk/æg/erstatningsprodukter;Sojadrik, tilsat calcium;Planteprodukter og -drikke;0,46
Ra00213;Bouillon, hønsekød, spiseklar;Krydderier/konserveringsmidler/ekstrakter;Bouillon, hønsekød, spiseklar;Smagsgivere og krydderier;0,35
Ra00214;Kødboller, konserves;Tilberedte/konserverede fødevarer;Kødboller, okse/gris, konserves;Kød og fjerkræ;16,13
Ra00215;Bouillon, oksekød, spiseklar;Krydderier/konserveringsmidler/ekstrakter;Bouillon, oksekød, spiseklar;Smagsgivere og krydderier;0,55
Ra00216;Kødboller, uspec.;Kød/fjerkræ;Kødboller, okse/gris;Kød og fjerkræ;16,13
Ra00217;Melboller, uspec.;Tilberedte/konserverede fødevarer;Melboller, uspec.;Korn og kornprodukter;1,33
Ra00218;Kødboller, dybfrost;Tilberedte/konserverede fødevarer;Kødboller, okse/gris, dybfrost;Kød og fjerkræ;15,79
Ra00219;Tomatsuppe, spiseklar;Tilberedte/konserverede fødevarer;Tomatsuppe, spiseklar;Færdigretter;2,19
Ra00220;Bouillon, oksekød, koncentreret, terning;Krydderier/konserveringsmidler/ekstrakter;Bouillon, oksekød, koncentreret, terning;Smagsgivere og krydderier;9,94
Ra00221;Melboller, dybfrost;Tilberedte/konserverede fødevarer;Melboller, dybfrost;Korn og kornprodukter;1,37
Ra00222;Kylling, grillstegt, fastfood;Tilberedte/konserverede fødevarer;Kylling, grillstegt, færdigret;Færdigretter;4,71
Ra00223;Kyllingenuggets, friturestegt, færdigretter;Tilberedte/konserverede fødevarer;Kylling, nuggets friturestegt, færdigretter;Kød og fjerkræ;4,34
Ra00224;Pizza med tomat og ost, færdigretter;Brød/bageartikler;Pizza med tomat og ost, færdigretter;Færdigretter;2,44
Ra00225;Pizza med fisk, tomat og ost, færdigretter;Brød/bageartikler;Pizza med fisk, tomat og ost, færdigretter;Færdigretter;3,63
Ra00226;Pizza med salami, tomat og ost, færdigretter;Brød/bageartikler;Pizza med salami, tomat og ost, færdigretter;Færdigretter;3,04
Ra00227;Pizza med grønt og frugt, tomat og ost, færdigretter;Brød/bageartikler;Pizza med grønt og frugt, tomat og ost, færdigretter;Færdigretter;2,32
Ra00228;Pizza med kød, tomat og ost, færdigretter;Brød/bageartikler;Pizza med kød, tomat og ost, færdigretter;Færdigretter;4,56
Ra00229;Pizza med kød og fisk, tomat og ost, færdigretter;Brød/bageartikler;Pizza med kød og fisk, tomat og ost, færdigretter;Færdigretter;4,10
Ra00230;Kalv og flæsk, hakket, 15-20% fedt, råt;Kød/fjerkræ;Kalv og flæsk, hakket, 15-20% fedt;Kød og fjerkræ;22,04
Ra00231;Gedemælk;Mælk/æg/erstatningsprodukter;Gedemælk;Mælk, mejeriprodukter og æg;2,80
Ra00232;Marcipan;Slik/sukkervarer;Marcipan;Brød og bageartikler;12,08
Ra00233;Sirup;Slik/sukkervarer;Sirup;Slik og sukkervarer;1,75
Ra00234;Pasta, rå;Tilberedte/konserverede fødevarer;Pasta;Korn og kornprodukter;2,05
Ra00235;Æble, uspec., råt;Frugt/grøntsagsprodukter;Æble;Frugt og frugtprodukter;0,61
Ra00236;Pære, rå;Frugt/grøntsagsprodukter;Pære;Frugt og frugtprodukter;0,46
Ra00237;Vindrue, rå;Frugt/grøntsagsprodukter;Vindrue;Frugt og frugtprodukter;0,88
Ra00238;Grisekød, nakkekam med svær, rå;Kød/fjerkræ;Grisekød, flæskesteg, nakkekam med svær;Kød og fjerkræ;4,64
Ra00239;Skinke, inderlår, helt afpudset, rå;Kød/fjerkræ;Grisekød, skinke, inderlår, afpudset;Kød og fjerkræ;4,64
Ra00240;Grisefilet, helt afpudset, rå;Kød/fjerkræ;Grisekød, filet, afpudset;Kød og fjerkræ;5,53
Ra00241;Grisemørbrad, afpudset, rå;Kød/fjerkræ;Grisekød, mørbrad, afpudset;Kød og fjerkræ;7,32
Ra00242;Grisekød, hakket, 5-10% fedt, råt;Kød/fjerkræ;Grisekød, hakket, 5-10% fedt;Kød og fjerkræ;3,67
Ra00243;Grisekød, nakkefilet, helt afpudset (Nakkekotelet), rå;Kød/fjerkræ;Grisekød, nakkefilet, afpudset (Nakkekotelet);Kød og fjerkræ;4,69
Ra00244;Grisekød, hakket, 15-20% fedt, råt;Kød/fjerkræ;Grisekød, hakket, 15-20% fedt;Kød og fjerkræ;3,75
Ra00245;Millionbøf, uspec., færdigretter;Kød/fjerkræ;Millionbøf, uspec., færdigretter;Færdigretter;19,74
Ra00246;Forloren skildpadde, uspec., færdigretter;Kød/fjerkræ;Forloren skildpadde, uspec., færdigretter;Færdigretter;26,36
